concept,field,family,role,source,note
Motif_Effector region,Motif,ATPase/GTPase/signaling,binding,hand,
Motif_Q motif,Motif,ATPase/GTPase/signaling,binding,inherited,
Region_Involved in allosteric activation by GTP,Region,ATPase/GTPase/signaling,binding,hand,
Domain_ABC transporter,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_ABC transporter 1,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_ABC transporter 2,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_CP-type G,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_Era-type G,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_G-alpha,Domain,ATPase/GTPase/signaling,catalytic,inherited,
Domain_Helicase ATP-binding,Domain,ATPase/GTPase/signaling,catalytic,inherited,
Domain_Helicase C-terminal,Domain,ATPase/GTPase/signaling,catalytic,inherited,
Domain_OBG-type G,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_Obg,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_Response regulatory,Domain,ATPase/GTPase/signaling,catalytic,inherited,
Domain_TrmE-type G,Domain,ATPase/GTPase/signaling,catalytic,hand,
Domain_tr-type G,Domain,ATPase/GTPase/signaling,catalytic,hand,
Motif_DEAD box,Motif,ATPase/GTPase/signaling,catalytic,hand,
Motif_Switch 1,Motif,ATPase/GTPase/signaling,catalytic,hand,
Motif_Switch 2,Motif,ATPase/GTPase/signaling,catalytic,hand,
"Region_Domain III, AAA+ region",Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G1,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G1 motif,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G2,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G2 motif,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G3,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G3 motif,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G4,Region,ATPase/GTPase/signaling,catalytic,hand,
